Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls_p90,Ast_p90,Country
Gilson Benchimol,FW,24-188,2.0,1,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,Cabo Verde
Garry Rodrigues,MF,35-220,2.0,1,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,Cabo Verde
Telmo Arcanjo,MF,25-014,2.0,1,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Cabo Verde
Hélio Varela,FW,24-063,3.0,0,104.0,1.2,1.0,0.0,0.0,0.0,0.87,0.0,Cabo Verde
Yannick,MF,30-188,2.0,0,32.0,0.4,0.0,1.0,0.0,0.0,0.0,2.81,Cabo Verde
Logan Costa,DF,25-095,0.0,0,,,,,,,,,Cabo Verde
C.J. dos Santos,GK,25-315,0.0,0,,,,,,,,,Cabo Verde
Kelvin Pires,DF,26-030,0.0,0,,,,,,,,,Cabo Verde
Márcio Rosa,GK,29-132,0.0,0,,,,,,,,,Cabo Verde
Stopira,DF,38-046,0.0,0,,,,,,,,,Cabo Verde
Maxime Crépeau,GK,32-051,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Alistair Johnston,DF,27-266,4.0,4,360.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,Canada
Richie Laryea,DF,31-175,4.0,4,352.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Jonathan David,FW,26-168,4.0,4,330.0,3.7,3.0,0.0,0.0,0.0,0.82,0.0,Canada
Derek Cornelius,DF,28-218,4.0,4,315.0,3.5,0.0,0.0,1.0,0.0,0.0,0.0,Canada
Tajon Buchanan,MF,27-143,4.0,4,290.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Stephen Eustáquio,MF,29-192,4.0,3,302.0,3.4,1.0,0.0,0.0,0.0,0.3,0.0,Canada
Luc De Fougerolles,DF,20-262,4.0,3,282.0,3.1,0.0,0.0,1.0,0.0,0.0,0.0,Canada
Tani Oluwaseyi,FW,26-047,4.0,2,197.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Nathan Saliba,MF,22-144,3.0,2,182.0,2.0,1.0,2.0,1.0,0.0,0.49,0.99,Canada
Cyle Larin,FW,31-075,3.0,2,162.0,1.8,2.0,0.0,1.0,0.0,1.11,0.0,Canada
Liam Millar,MF,26-277,3.0,2,162.0,1.8,0.0,0.0,1.0,0.0,0.0,0.0,Canada
Ali Ahmed,MF,25-264,3.0,2,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Ismaël Koné,MF,24-015,2.0,2,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Moïse Bombito,DF,26-093,2.0,1,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Mathieu Choinière,MF,27-144,1.0,1,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Jacob Shaffelburg,MF,26-217,4.0,0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Promise David,FW,24-363,3.0,0,67.0,0.7,1.0,1.0,0.0,0.0,1.34,1.34,Canada
Niko Sigur,"DF,MF",22-295,2.0,0,40.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,Canada
Alphonso Davies,"DF,FW",25-241,1.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Jonathan Osorio,MF,34-019,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada
Owen Goodman,GK,22-216,0.0,0,,,,,,,,,Canada
Alfie Jones,"DF,MF",28-267,0.0,0,,,,,,,,,Canada
Jayden Nelson,"FW,MF",23-278,0.0,0,,,,,,,,,Canada
Dayne St. Clair,GK,29-053,0.0,0,,,,,,,,,Canada
Joel Waterman,DF,30-158,0.0,0,,,,,,,,,Canada
Jhon Lucumí,DF,28-009,4.0,4,360.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,Colombia
Davinson Sánchez,DF,30-023,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia
Camilo Vargas,GK,37-118,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia
Luis Díaz,FW,29-173,4.0,4,358.0,4.0,1.0,1.0,0.0,0.0,0.25,0.25,Colombia
Gustavo Puerta,MF,22-347,4.0,4,349.0,3.9,0.0,1.0,1.0,0.0,0.0,0.26,Colombia
Jefferson Lerma,MF,31-253,4.0,4,329.0,3.7,0.0,0.0,1.0,0.0,0.0,0.0,Colombia
Jhon Arias,MF,28-287,4.0,4,312.0,3.5,1.0,0.0,1.0,0.0,0.29,0.0,Colombia
James Rodríguez,FW,34-358,4.0,4,248.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,Colombia
Daniel Muñoz,DF,30-040,4.0,3,274.0,3.0,2.0,0.0,0.0,0.0,0.66,0.0,Colombia
Johan Mojica,DF,33-318,3.0,3,270.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,Colombia
Luis Suárez,FW,28-215,4.0,2,250.0,2.8,0.0,1.0,0.0,0.0,0.0,0.36,Colombia
Jhon Córdoba,FW,33-055,3.0,2,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,Colombia
Deiver Machado,DF,32-306,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia
Santiago Arias,DF,34-173,1.0,1,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia
Richard Ríos,MF,26-033,4.0,0,101.0,1.1,0.0,0.0,1.0,0.0,0.0,0.0,Colombia
Juan Quintero,"FW,MF",33-168,3.0,0,66.0,0.7,0.0,1.0,0.0,0.0,0.0,1.36,Colombia
Jaminton Campaz,"FW,MF",26-042,2.0,0,20.0,0.2,1.0,0.0,0.0,0.0,4.5,0.0,Colombia
Kevin Castaño,MF,25-279,2.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Colombia
Cucho,"FW,MF",27-076,1.0,0,11.0,0.1,0.0,1.0,0.0,0.0,0.0,8.18,Colombia
Andrés Gómez,MF,23-296,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia
Juan Camilo Portilla,MF,27-296,0.0,0,,,,,,,,,Colombia
Jorge Carrascal,"FW,MF",28-041,0.0,0,,,,,,,,,Colombia
Álvaro David Montero,GK,31-098,0.0,0,,,,,,,,,Colombia
Willer Ditta,DF,28-163,0.0,0,,,,,,,,,Colombia
Yerry Mina,DF,31-285,0.0,0,,,,,,,,,Colombia
David Ospina,GK,37-308,0.0,0,,,,,,,,,Colombia
Chancel Mbemba,DF,31-331,,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.25,Congo Dr
Lionel Mpasi,GK,31-338,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Congo Dr
Axel Tuanzebe,DF,28-233,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Congo Dr
Yoane Wissa,FW,29-305,,4,360.0,4.0,3.0,0.0,0.0,0.0,0.75,0.0,Congo Dr
Aaron Wan-Bissaka,DF,28-221,,4,354.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,Congo Dr
Samuel Moutoussamy,MF,29-327,,4,330.0,3.7,0.0,0.0,1.0,0.0,0.0,0.0,Congo Dr
Arthur Masuaku,DF,32-240,,4,315.0,3.5,0.0,1.0,0.0,0.0,0.0,0.29,Congo Dr
Ngal'Ayel Mukau,MF,21-244,,3,195.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,Congo Dr
Cédric Bakambu,FW,35-085,,3,190.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,Congo Dr
Noah Sadiki,MF,21-200,,2,259.0,2.9,0.0,0.0,2.0,0.0,0.0,0.0,Congo Dr
Steve Kapuadi,DF,28-066,,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Congo Dr
Edo Kayembe,MF,28-032,,2,160.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,Congo Dr
Brian Cipenga,"MF,FW",28-116,,2,146.0,1.6,1.0,0.0,0.0,0.0,0.62,0.0,Congo Dr
Nathanaël Mbuku,"MF,FW",24-111,,2,143.0,1.6,0.0,0.0,1.0,0.0,0.0,0.0,Congo Dr
Meschak Elia,"FW,MF",28-333,,0,46.0,0.5,0.0,1.0,0.0,0.0,0.0,1.96,Congo Dr
Joris Kayembe,"DF,FW",31-331,,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Congo Dr
Fiston Mayele,FW,32-011,,0,42.0,0.5,1.0,0.0,0.0,0.0,2.14,0.0,Congo Dr
Simon Banza,"FW,MF",29-326,,0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,Congo Dr
Charles Pickel,"DF,MF",29-051,,0,35.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,Congo Dr
Theo Bongonda,"FW,MF",30-227,,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,Congo Dr
Gédéon Kalulu,DF,28-310,,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Congo Dr
Dylan Batubinsika,DF,30-140,,0,,,,,,,,,Congo Dr
Matthieu Epolo,GK,21-171,,0,,,,,,,,,Congo Dr
Timothy Fayulu,GK,26-346,,0,,,,,,,,,Congo Dr
Gaël Kakuta,"FW,MF",35-014,,0,,,,,,,,,Congo Dr
Aaron Tshibola,MF,31-184,,0,,,,,,,,,Congo Dr
Dominik Livaković,GK,31-177,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
Ivan Perišić,"MF,DF",37-153,,4,360.0,4.0,1.0,1.0,2.0,0.0,0.25,0.25,Croatia
Josip Stanišić,"DF,MF",26-094,,4,360.0,4.0,0.0,1.0,0.0,0.0,0.0,0.25,Croatia
Josip Šutalo,DF,26-127,,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
Martin Baturina,"MF,FW",23-139,,4,321.0,3.6,1.0,0.0,0.0,0.0,0.28,0.0,Croatia
Luka Modrić,MF,40-299,,4,317.0,3.5,0.0,1.0,1.0,0.0,0.0,0.28,Croatia
Petar Sučić,"MF,FW",22-253,,3,289.0,3.2,1.0,1.0,1.0,0.0,0.31,0.31,Croatia
Mateo Kovačić,MF,32-060,,3,270.0,3.0,0.0,1.0,0.0,0.0,0.0,0.33,Croatia
Marin Pongračić,DF,28-297,,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
Nikola Vlašić,MF,28-274,,2,189.0,2.1,1.0,0.0,0.0,0.0,0.48,0.0,Croatia
Ante Budimir,FW,34-348,,2,155.0,1.7,1.0,0.0,0.0,0.0,0.58,0.0,Croatia
Joško Gvardiol,DF,24-163,,2,139.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
Petar Musa,FW,28-123,,2,110.0,1.2,1.0,0.0,0.0,0.0,0.82,0.0,Croatia
Mario Pašalić,MF,31-146,,1,123.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
Marco Pašalić,MF,25-294,,1,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
Luka Vušković,DF,19-131,,1,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
Igor Matanović,FW,23-096,,0,95.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
Andrej Kramarić,"FW,MF",35-016,,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
Luka Sučić,"FW,MF",23-300,,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
Duje Ćaleta-Car,DF,29-291,,0,,,,,,,,,Croatia
Martin Erlić,DF,28-162,,0,,,,,,,,,Croatia
Toni Fruk,"FW,MF",25-118,,0,,,,,,,,,Croatia
Kristijan Jakić,"DF,MF",29-052,,0,,,,,,,,,Croatia
Dominik Kotarski,GK,26-145,,0,,,,,,,,,Croatia
Nikola Moro,MF,28-115,,0,,,,,,,,,Croatia
Ivor Pandur,GK,26-102,,0,,,,,,,,,Croatia
Leandro Bacuna,MF,34-314,3.0,3,270.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,Curaçao
Sherel Floranus,DF,27-312,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Curaçao
Armando Obispo,DF,27-118,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Curaçao
Eloy Room,GK,37-145,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Curaçao
Juninho Bacuna,MF,28-328,3.0,3,254.0,2.8,0.0,0.0,2.0,0.0,0.0,0.0,Curaçao
Tahith Chong,MF,26-209,3.0,3,247.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,Curaçao
Deveron Fonville,DF,23-046,3.0,3,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,Curaçao
Jürgen Locadia,FW,32-236,3.0,3,235.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,Curaçao
Livano Comenencia,MF,22-148,3.0,3,233.0,2.6,1.0,0.0,1.0,0.0,0.39,0.0,Curaçao
Joshua Brenet,DF,32-103,2.0,2,179.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Curaçao
Juriën Gaari,DF,32-190,2.0,2,166.0,1.8,0.0,0.0,1.0,0.0,0.0,0.0,Curaçao
Riechedly Bazoer,DF,29-262,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Curaçao
Sontje Hansen,FW,24-044,1.0,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Curaçao
Jeremy Antonisse,"FW,MF",24-094,2.0,0,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,Curaçao
Jearl Margaritha,"FW,MF",26-082,2.0,0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Curaçao
Gervane Kastaneer,"FW,MF",30-022,3.0,0,30.0,0.3,0.0,0.0,2.0,0.0,0.0,0.0,Curaçao
Kenji Gorré,"FW,MF",31-275,1.0,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Curaçao
Roshon van Eijma,DF,28-022,1.0,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Curaçao
Tyrese Noslin,MF,23-293,1.0,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Curaçao
Godfried Roemeratoe,MF,26-316,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Curaçao
Brandley Kuwas,"FW,MF",33-285,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Curaçao
Shurandy Sambo,DF,24-316,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Curaçao
Tyrick Bodak,GK,24-047,0.0,0,,,,,,,,,Curaçao
Trevor Doornbusch,GK,26-360,0.0,0,,,,,,,,,Curaçao
Kevin Felida,MF,26-232,0.0,0,,,,,,,,,Curaçao
Ar'jany Martha,"DF,FW",22-300,0.0,0,,,,,,,,,Curaçao
Vladimír Coufal,"MF,DF",33-313,3.0,3,270.0,3.0,0.0,1.0,0.0,0.0,0.0,0.33,Czechia
Robin Hranáč,DF,26-153,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Czechia
Matej Kovar,GK,26-045,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Czechia
Ladislav Krejčí,DF,27-072,3.0,3,270.0,3.0,1.0,0.0,1.0,0.0,0.33,0.0,Czechia
Pavel Šulc,FW,25-184,3.0,2,189.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,Czechia
Michal Sadílek,MF,27-031,3.0,2,183.0,2.0,1.0,0.0,0.0,0.0,0.49,0.0,Czechia
Patrik Schick,FW,30-158,3.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Czechia
Lukáš Červ,MF,25-082,2.0,2,163.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,Czechia
Adam Hložek,FW,23-341,3.0,2,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,Czechia
Tomáš Holeš,DF,33-092,2.0,2,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,Czechia
Alexandr Sojka,"MF,DF",23-090,3.0,2,141.0,1.6,0.0,1.0,0.0,0.0,0.0,0.64,Czechia
Tomáš Souček,MF,31-124,3.0,1,137.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,Czechia
Jaroslav Zelený,MF,33-315,2.0,1,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,Czechia
Lukáš Provod,FW,29-251,3.0,1,122.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,Czechia
Štěpán Chaloupek,DF,23-115,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Czechia
David Douděra,MF,28-031,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Czechia
Denis Višinský,FW,23-102,1.0,1,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Czechia
Vladimír Darida,MF,35-327,1.0,1,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Czechia
Tomáš Chorý,FW,31-156,2.0,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Czechia
David Zima,DF,25-235,1.0,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Czechia
Mojmír Chytil,FW,27-063,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Czechia
Lukáš Horníček,GK,23-353,0.0,0,,,,,,,,,Czechia
David Jurásek,"DF,MF",25-328,0.0,0,,,,,,,,,Czechia
Jan Kuchta,FW,29-174,0.0,0,,,,,,,,,Czechia
Hugo Sochůrek,MF,18-024,0.0,0,,,,,,,,,Czechia
Jindřich Staněk,GK,30-065,0.0,0,,,,,,,,,Czechia
Moisés Caicedo,MF,24-241,4.0,4,360.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,Ecuador
Hernán Galíndez,GK,39-093,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
Willian Pacho,DF,24-258,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
Gonzalo Plata,FW,25-242,4.0,4,360.0,4.0,1.0,0.0,1.0,0.0,0.25,0.0,Ecuador
Pedro Vite,MF,24-114,4.0,4,360.0,4.0,0.0,1.0,0.0,0.0,0.0,0.25,Ecuador
Piero Hincapié,DF,24-173,4.0,4,339.0,3.8,0.0,0.0,1.0,1.0,0.0,0.0,Ecuador
John Yeboah,MF,26-008,4.0,4,311.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
Enner Valencia,FW,36-239,4.0,4,287.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
Alan Franco,DF,27-314,4.0,4,251.0,2.8,0.0,0.0,2.0,0.0,0.0,0.0,Ecuador
Joel Ordóñez,DF,22-071,3.0,3,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
Nilson Angulo,MF,23-012,4.0,2,218.0,2.4,1.0,0.0,0.0,0.0,0.41,0.0,Ecuador
Pervis Estupiñán,MF,28-161,2.0,1,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
Alan Minda,MF,23-048,1.0,1,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
Jordy Alcivar,MF,26-330,1.0,1,45.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,Ecuador
Kevin Rodríguez,FW,26-119,4.0,0,118.0,1.3,0.0,1.0,0.0,0.0,0.0,0.76,Ecuador
Ángelo Preciado,"DF,MF",28-133,4.0,0,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
Yaimar Medina,"DF,MF",21-238,1.0,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
Jackson Porozo,DF,25-331,1.0,0,29.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,Ecuador
Jordy Caicedo,FW,28-225,3.0,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
Kendry Páez,MF,19-058,1.0,0,12.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,Ecuador
Félix Torres Caicedo,DF,29-171,1.0,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Ecuador
Jeremy Arévalo,FW,21-104,0.0,0,,,,,,,,,Ecuador
Denil Castillo,MF,22-099,0.0,0,,,,,,,,,Ecuador
Moisés Ramírez,GK,25-295,0.0,0,,,,,,,,,Ecuador
Anthony Valencia,MF,22-345,0.0,0,,,,,,,,,Ecuador
Gonzalo Valle,GK,30-123,0.0,0,,,,,,,,,Ecuador
Mohamed Hany,DF,30-161,4.0,4,390.0,4.3,0.0,1.0,0.0,0.0,0.0,0.23,Egypt
Mostafa Shobeir,GK,26-051,4.0,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,Egypt
Mohamed Salah,"FW,MF",34-020,4.0,4,335.0,3.7,1.0,2.0,0.0,0.0,0.27,0.54,Egypt
Emam Ashour,MF,28-135,4.0,4,317.0,3.5,2.0,0.0,0.0,0.0,0.57,0.0,Egypt
Mostafa Ziko,"MF,FW",29-069,4.0,4,291.0,3.2,1.0,1.0,0.0,0.0,0.31,0.31,Egypt
Yasser Ibrahim,DF,33-145,4.0,3,377.0,4.2,0.0,0.0,2.0,0.0,0.0,0.0,Egypt
Marwan Attia,MF,27-327,4.0,3,344.0,3.8,0.0,0.0,1.0,0.0,0.0,0.0,Egypt
Omar Marmoush,"FW,MF",27-148,4.0,3,315.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,Egypt
Mohanad Lasheen,MF,30-037,3.0,3,270.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,Egypt
Ahmed Fatouh,DF,28-105,3.0,3,267.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,Egypt
Hamdy Fathy,"DF,MF",31-279,3.0,3,193.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,Egypt
Ramy Rabia,DF,33-046,4.0,2,282.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,Egypt
Trézéguet,MF,31-277,3.0,1,146.0,1.6,1.0,1.0,0.0,0.0,0.62,0.62,Egypt
Karim Hafez,DF,30-115,2.0,1,82.0,0.9,0.0,1.0,0.0,0.0,0.0,1.1,Egypt
Mahmoud Saber,MF,24-340,2.0,1,46.0,0.5,1.0,0.0,1.0,0.0,1.96,0.0,Egypt
Mohamed Abdelmonem,DF,27-154,2.0,1,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Egypt
Hamza Abdelkarim,FW,18-185,4.0,0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,Egypt
Hossam Abdelmaguid,DF,25-066,2.0,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,Egypt
Zizo,MF,30-176,3.0,0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Egypt
