Player,Height,Foot,International matches,Goals,Country,TM_Position,Pos,Value_M,Age
Wout Weghorst,"1,97m",right,53.0,14,Netherlands,Centre-Forward,FW,2.0,33
Max Crocombe,"1,90m",right,27.0,0,New Zealand,Goalkeeper,GK,1.0,32
Alex Paulsen,"1,93m",right,8.0,0,New Zealand,Goalkeeper,GK,0.5,23
Michael Woud,"1,96m",left,6.0,0,New Zealand,Goalkeeper,GK,0.4,27
Tyler Bindon,"1,90m",right,28.0,2,New Zealand,Centre-Back,DF,3.5,21
Finn Surman,"1,90m",right,22.0,3,New Zealand,Centre-Back,DF,1.8,22
Nando Pijnaker,"1,85m",left,25.0,0,New Zealand,Centre-Back,DF,0.4,27
Michael Boxall,"1,91m",right,66.0,1,New Zealand,Centre-Back,DF,0.15,37
Tommy Smith,"1,88m",left,56.0,2,New Zealand,Centre-Back,DF,0.05,36
Liberato Cacace,"1,82m",left,40.0,1,New Zealand,Left-Back,DF,2.5,25
Ben Old,"1,73m",left,27.0,2,New Zealand,Left-Back,DF,1.8,23
Francis de Vries,"1,81m",left,21.0,1,New Zealand,Left-Back,DF,0.6,31
Callan Elliot,"1,77m",right,12.0,0,New Zealand,Right-Back,DF,0.45,26
Tim Payne,"1,79m",right,55.0,3,New Zealand,Right-Back,DF,0.35,32
Joe Bell,"1,82m",right,35.0,1,New Zealand,Defensive Midfield,MF,3.5,27
Ryan Thomas,"1,76m",right,28.0,3,New Zealand,Defensive Midfield,MF,0.65,31
Alex Rufer,"1,80m",right,26.0,0,New Zealand,Defensive Midfield,MF,0.6,30
Marko Stamenić,"1,88m",right,42.0,3,New Zealand,Central Midfield,MF,3.0,24
Lachlan Bayliss,"1,78m",right,4.0,0,New Zealand,Central Midfield,MF,0.55,23
Callum McCowatt,"1,80m",right,35.0,4,New Zealand,Attacking Midfield,MF,2.5,27
Sarpreet Singh,"1,80m",left,31.0,3,New Zealand,Attacking Midfield,MF,0.5,27
Jesse Randall,"1,76m",right,14.0,2,New Zealand,Left Winger,FW,0.9,23
Elijah Just,"1,76m",left,47.0,12,New Zealand,Right Winger,FW,2.5,26
Logan Rogerson,"1,82m",right,18.0,2,New Zealand,Right Winger,FW,0.4,28
Chris Wood,"1,91m",right,93.0,45,New Zealand,Centre-Forward,FW,5.0,34
Ben Waine,"1,85m",right,31.0,9,New Zealand,Centre-Forward,FW,0.4,25
Kosta Barbarouses,"1,71m",both,76.0,10,New Zealand,Centre-Forward,FW,0.3,36
Sander Tangvik,"1,93m",right,-,0,Norway,Goalkeeper,GK,3.0,23
Egil Selvik,"1,93m",left,8,0,Norway,Goalkeeper,GK,1.5,28
Ørjan Nyland,"1,92m",right,74,0,Norway,Goalkeeper,GK,0.8,35
Kristoffer Ajer,"1,98m",right,55,2,Norway,Centre-Back,DF,18.0,28
Leo Østigård,"1,83m",right,41,2,Norway,Centre-Back,DF,13.0,26
Torbjørn Heggem,"1,92m",left,18,0,Norway,Centre-Back,DF,13.0,27
Henrik Falchener,"1,94m",right,2,0,Norway,Centre-Back,DF,6.0,23
Sondre Langås,"1,90m",right,4,0,Norway,Centre-Back,DF,4.0,25
David Møller Wolfe,"1,85m",left,25,1,Norway,Left-Back,DF,8.0,24
Fredrik Bjørkan,"1,80m",left,22,1,Norway,Left-Back,DF,3.5,27
Julian Ryerson,"1,83m",right,45,1,Norway,Right-Back,DF,25.0,28
Marcus Pedersen,"1,84m",right,35,1,Norway,Right-Back,DF,3.5,25
Sander Berge,"1,95m",right,69,1,Norway,Defensive Midfield,MF,25.0,28
Patrick Berg,"1,78m",right,47,0,Norway,Defensive Midfield,MF,8.0,28
Fredrik Aursnes,"1,81m",right,26,1,Norway,Central Midfield,MF,15.0,30
Kristian Thorstvedt,"1,89m",left,39,4,Norway,Central Midfield,MF,12.0,27
Morten Thorsby,"1,88m",right,32,0,Norway,Central Midfield,MF,2.8,30
Martin Ødegaard,"1,78m",left,71,5,Norway,Attacking Midfield,MF,65.0,27
Thelo Aasgaard,"1,88m",right,9,6,Norway,Attacking Midfield,MF,2.8,24
Antonio Nusa,"1,83m",right,28,9,Norway,Left Winger,FW,32.0,21
Andreas Schjelderup,"1,77m",right,16,1,Norway,Left Winger,FW,30.0,22
Jens Petter Hauge,"1,84m",right,16,1,Norway,Left Winger,FW,12.0,26
Oscar Bobb,"1,77m",left,24,2,Norway,Right Winger,FW,28.0,22
Erling Haaland,"1,95m",left,53,60,Norway,Centre-Forward,FW,200.0,25
Jørgen Strand Larsen,"1,93m",right,29,6,Norway,Centre-Forward,FW,40.0,26
Alexander Sørloth,"1,96m",left,75,26,Norway,Centre-Forward,FW,18.0,30
Orlando Mosquera,"1,91m",right,51.0,0,Panama,Goalkeeper,GK,0.7,31
César Samudio,"1,89m",left,5.0,0,Panama,Goalkeeper,GK,0.25,32
Luis Mejía,"1,93m",left,56.0,0,Panama,Goalkeeper,GK,0.15,35
José Córdoba,"1,89m",left,35.0,1,Panama,Centre-Back,DF,5.0,25
Andrés Andrade,"1,87m",left,53.0,1,Panama,Centre-Back,DF,2.5,27
Edgardo Fariña,"1,95m",right,18.0,0,Panama,Centre-Back,DF,0.9,24
Jiovany Ramos,"1,88m",right,25.0,2,Panama,Centre-Back,DF,0.45,29
Fidel Escobar,"1,84m",right,100.0,4,Panama,Centre-Back,DF,0.35,31
Roderick Miller,"1,90m",left,49.0,2,Panama,Centre-Back,DF,0.175,34
Jorge Gutiérrez,"1,71m",left,19.0,0,Panama,Left-Back,DF,0.8,27
Éric Davis,"1,80m",left,109.0,9,Panama,Left-Back,DF,0.05,35
Amir Murillo,"1,85m",right,97.0,9,Panama,Right-Back,DF,7.0,30
César Blackman,"1,74m",right,42.0,3,Panama,Right-Back,DF,2.5,28
Cristian Martínez,"1,70m",right,69.0,2,Panama,Defensive Midfield,MF,0.8,29
Carlos Harvey,"1,84m",right,31.0,3,Panama,Defensive Midfield,MF,0.6,26
Aníbal Godoy,"1,84m",left,158.0,4,Panama,Defensive Midfield,MF,0.1,36
Adalberto Carrasquilla,"1,71m",right,72.0,3,Panama,Central Midfield,MF,4.0,27
José Luis Rodríguez,"1,80m",left,73.0,8,Panama,Left Winger,FW,2.5,28
Ismael Díaz,"1,84m",right,58.0,17,Panama,Left Winger,FW,1.8,29
Yoel Bárcenas,"1,75m",right,106.0,9,Panama,Right Winger,FW,0.65,32
César Yanis,"1,60m",left,54.0,5,Panama,Right Winger,FW,0.4,30
Alberto Quintero,"1,65m",right,141.0,7,Panama,Right Winger,FW,0.075,38
Tomás Rodríguez,"1,83m",right,15.0,4,Panama,Centre-Forward,FW,1.0,27
Azarías Londoño,"1,85m",right,15.0,1,Panama,Centre-Forward,FW,1.0,25
José Fajardo,"1,84m",right,71.0,17,Panama,Centre-Forward,FW,0.55,32
Cecilio Waterman,"1,80m",right,57.0,15,Panama,Centre-Forward,FW,0.25,35
Orlando Gill,"1,99m",left,10.0,0,Paraguay,Goalkeeper,GK,6.0,26
Gastón Olveira,"1,91m",right,1.0,0,Paraguay,Goalkeeper,GK,0.5,33
Roberto Fernández,"1,91m",right,30.0,0,Paraguay,Goalkeeper,GK,0.1,38
Omar Alderete,"1,90m",left,39.0,3,Paraguay,Centre-Back,DF,13.0,29
Gustavo Gómez,"1,85m",right,93.0,4,Paraguay,Centre-Back,DF,3.5,33
José Canale,"1,87m",left,5.0,0,Paraguay,Centre-Back,DF,2.2,29
Júnior Alonso,"1,85m",left,75.0,3,Paraguay,Centre-Back,DF,1.5,33
Fabián Balbuena,"1,88m",right,48.0,2,Paraguay,Centre-Back,DF,0.9,34
Gustavo Velázquez,"1,79m",right,17.0,1,Paraguay,Centre-Back,DF,0.4,35
Alexandro Maidana,"1,78m",left,4.0,1,Paraguay,Left-Back,DF,2.5,20
Juan José Cáceres,"1,87m",right,21.0,0,Paraguay,Right-Back,DF,5.0,26
Andrés Cubas,"1,66m",right,37.0,0,Paraguay,Defensive Midfield,MF,4.5,30
Braian Ojeda,"1,73m",right,18.0,0,Paraguay,Defensive Midfield,MF,3.5,26
Diego Gómez,"1,83m",right,27.0,3,Paraguay,Central Midfield,MF,25.0,23
Damián Bobadilla,"1,80m",right,23.0,1,Paraguay,Central Midfield,MF,6.0,24
Matías Galarza,"1,75m",left,18.0,4,Paraguay,Central Midfield,MF,3.0,24
Julio Enciso,"1,73m",right,36.0,5,Paraguay,Attacking Midfield,MF,25.0,22
Mauricio,"1,75m",left,6.0,1,Paraguay,Attacking Midfield,MF,15.0,25
Kaku,"1,71m",left,35.0,6,Paraguay,Attacking Midfield,MF,4.5,31
Gustavo Caballero,"1,89m",right,3.0,1,Paraguay,Left Winger,FW,1.0,24
Miguel Almirón,"1,78m",left,79.0,10,Paraguay,Right Winger,FW,7.0,32
Ramón Sosa,"1,78m",right,30.0,1,Paraguay,Second Striker,FW,10.0,26
Isidro Pitta,"1,85m",right,6.0,0,Paraguay,Centre-Forward,FW,7.5,26
Álex Arce,"1,88m",right,17.0,1,Paraguay,Centre-Forward,FW,3.5,31
Antonio Sanabria,"1,80m",right,50.0,7,Paraguay,Centre-Forward,FW,1.8,30
Gabriel Ávalos,"1,91m",right,26.0,2,Paraguay,Centre-Forward,FW,0.75,35
Diogo Costa,"1,88m",right,46.0,0,Portugal,Goalkeeper,GK,40.0,26
Rui Silva,"1,91m",left,3.0,0,Portugal,Goalkeeper,GK,7.0,32
José Sá,"1,92m",right,5.0,0,Portugal,Goalkeeper,GK,3.5,33
Rúben Dias,"1,87m",right,78.0,3,Portugal,Centre-Back,DF,55.0,29
Gonçalo Inácio,"1,85m",left,22.0,2,Portugal,Centre-Back,DF,40.0,24
Tomás Araújo,"1,87m",right,6.0,0,Portugal,Centre-Back,DF,30.0,24
Renato Veiga,"1,88m",left,16.0,1,Portugal,Centre-Back,DF,25.0,22
Nuno Mendes,"1,77m",left,47.0,2,Portugal,Left-Back,DF,80.0,24
Matheus Nunes,"1,83m",right,21.0,2,Portugal,Right-Back,DF,50.0,27
Diogo Dalot,"1,84m",right,36.0,3,Portugal,Right-Back,DF,30.0,27
João Cancelo,"1,82m",right,71.0,12,Portugal,Right-Back,DF,8.0,32
Nélson Semedo,"1,79m",right,52.0,0,Portugal,Right-Back,DF,6.0,32
Vitinha,"1,70m",right,41.0,0,Portugal,Defensive Midfield,MF,140.0,26
Rúben Neves,"1,83m",right,68.0,1,Portugal,Defensive Midfield,MF,25.0,29
Samú Costa,"1,85m",left,7.0,0,Portugal,Defensive Midfield,MF,15.0,25
João Neves,"1,71m",right,25.0,4,Portugal,Central Midfield,MF,140.0,21
Francisco Trincão,"1,84m",left,19.0,3,Portugal,Attacking Midfield,MF,40.0,26
Bruno Fernandes,"1,83m",right,92.0,29,Portugal,Attacking Midfield,MF,35.0,31
Bernardo Silva,"1,73m",left,111.0,14,Portugal,Attacking Midfield,MF,22.0,31
Rafael Leão,"1,88m",right,47.0,6,Portugal,Left Winger,FW,50.0,27
Gonçalo Guedes,"1,79m",right,34.0,8,Portugal,Left Winger,FW,6.0,29
Pedro Neto,"1,74m",left,28.0,3,Portugal,Right Winger,FW,60.0,26
Francisco Conceição,"1,66m",left,19.0,4,Portugal,Right Winger,FW,30.0,23
João Félix,"1,79m",right,56.0,12,Portugal,Second Striker,FW,28.0,26
Gonçalo Ramos,"1,85m",right,26.0,10,Portugal,Centre-Forward,FW,30.0,25
Cristiano Ronaldo,"1,85m",right,231.0,145,Portugal,Centre-Forward,FW,10.0,41
Meshaal Barsham,"1,80m",right,54.0,0,Qatar,Goalkeeper,GK,0.7,28
Mahmoud Abunada,"1,85m",left,9.0,0,Qatar,Goalkeeper,GK,0.4,26
Salah Zakaria,"1,86m",right,8.0,0,Qatar,Goalkeeper,GK,0.4,27
Lucas Mendes,"1,79m",left,27.0,2,Qatar,Centre-Back,DF,0.35,35
Al-Hashmi Al-Hussain,"1,82m",right,10.0,0,Qatar,Centre-Back,DF,0.25,22
Issa Laye,"1,78m",right,7.0,0,Qatar,Centre-Back,DF,0.2,28
Boualem Khoukhi,"1,85m",right,125.0,21,Qatar,Centre-Back,DF,0.2,35
Pedro Miguel,"1,80m",right,104.0,3,Qatar,Centre-Back,DF,0.15,35
Homam Al-Amin,"1,88m",left,71.0,3,Qatar,Left-Back,DF,0.5,26
Sultan Al-Brake,"1,78m",left,20.0,0,Qatar,Left-Back,DF,0.3,30
Ayoub Al-Oui,"1,81m",right,9.0,0,Qatar,Right-Back,DF,0.375,21
Jassem Gaber,"1,81m",right,37.0,1,Qatar,Defensive Midfield,MF,0.5,24
Assim Madibo,"1,68m",right,64.0,0,Qatar,Defensive Midfield,MF,0.35,29
Ahmed Fathi,"1,71m",right,49.0,0,Qatar,Defensive Midfield,MF,0.25,33
Karim Boudiaf,"1,90m",right,124.0,6,Qatar,Defensive Midfield,MF,0.175,35
Mohamed Manai,"1,80m",right,14.0,0,Qatar,Central Midfield,MF,0.5,23
Abdulaziz Hatim,"1,79m",left,122.0,11,Qatar,Central Midfield,MF,0.25,35
Hassan Al-Haydos,"1,74m",right,172.0,36,Qatar,Attacking Midfield,MF,0.3,35
Akram Afif,"1,76m",right,131.0,40,Qatar,Left Winger,FW,8.0,29
Edmílson Junior,"1,80m",right,19.0,0,Qatar,Left Winger,FW,1.8,31
Tahsin Mohammed Jamshid,"1,66m",right,4.0,0,Qatar,Left Winger,FW,0.2,20
Ahmed Al-Ganehi,"1,75m",right,14.0,1,Qatar,Right Winger,FW,0.5,25
Yusuf Abdurisag,"1,71m",right,41.0,3,Qatar,Right Winger,FW,0.275,26
Almoez Ali,"1,80m",right,120.0,55,Qatar,Centre-Forward,FW,2.5,29
Ahmed Alaaeldin,"1,79m",right,71.0,8,Qatar,Centre-Forward,FW,0.3,33
Mohammed Muntari,"1,92m",right,70.0,16,Qatar,Centre-Forward,FW,0.2,32
Nawaf Al-Aqidi,"1,86m",right,22.0,0,Saudi Arabia,Goalkeeper,GK,0.65,26
Mohammed Al-Owais,"1,85m",left,64.0,0,Saudi Arabia,Goalkeeper,GK,0.275,34
Ahmed Al-Kassar,"1,78m",right,9.0,0,Saudi Arabia,Goalkeeper,GK,0.175,35
Hassan Tambakti,"1,83m",right,53.0,0,Saudi Arabia,Centre-Back,DF,1.8,27
Abdulelah Al-Amri,"1,85m",right,44.0,2,Saudi Arabia,Centre-Back,DF,1.4,29
Jehad Thakri,"1,84m",right,8.0,0,Saudi Arabia,Centre-Back,DF,1.2,24
Ali Lajami,"1,77m",right,25.0,1,Saudi Arabia,Centre-Back,DF,0.75,30
Moteb Al-Harbi,"1,77m",left,16.0,0,Saudi Arabia,Left-Back,DF,1.4,26
Ayman Yahya,"1,73m",right,24.0,0,Saudi Arabia,Left-Back,DF,1.2,25
Hassan Kadesh,"1,79m",left,20.0,2,Saudi Arabia,Left-Back,DF,0.275,33
Saud Abdulhamid,"1,72m",right,55.0,1,Saudi Arabia,Right-Back,DF,9.0,26
Mohammed Abu Al-Shamat,"1,70m",right,10.0,0,Saudi Arabia,Right-Back,DF,1.8,23
Ali Majrashi,"1,69m",right,21.0,0,Saudi Arabia,Right-Back,DF,1.4,26
Nawaf Boushal,"1,73m",right,28.0,0,Saudi Arabia,Right-Back,DF,1.4,26
Ziyad Al-Johani,"1,80m",left,12.0,0,Saudi Arabia,Defensive Midfield,MF,0.8,24
Abdullah Al-Khaibari,"1,75m",right,41.0,0,Saudi Arabia,Defensive Midfield,MF,0.75,29
Musab Al-Juwayr,"1,75m",right,39.0,6,Saudi Arabia,Central Midfield,MF,6.0,23
Nasser Al-Dawsari,"1,78m",left,48.0,0,Saudi Arabia,Central Midfield,MF,0.9,27
Mohamed Kanno,"1,91m",right,78.0,8,Saudi Arabia,Central Midfield,MF,0.8,31
Alaa Hejji,"1,78m",right,5.0,0,Saudi Arabia,Central Midfield,MF,0.3,30
Khalid Al-Ghannam,"1,71m",right,8.0,0,Saudi Arabia,Left Winger,FW,2.5,25
Salem Al-Dawsari,"1,73m",right,110.0,26,Saudi Arabia,Left Winger,FW,1.2,34
Sultan Mandash,"1,72m",left,8.0,2,Saudi Arabia,Right Winger,FW,0.35,31
Firas Al-Buraikan,"1,85m",left,74.0,15,Saudi Arabia,Centre-Forward,FW,3.5,26
Saleh Al-Shehri,"1,84m",right,54.0,16,Saudi Arabia,Centre-Forward,FW,0.5,32
Abdullah Al-Hamdan,"1,86m",right,52.0,12,Saudi Arabia,Centre-Forward,FW,0.35,26
Angus Gunn,"1,96m",right,25.0,0,Scotland,Goalkeeper,GK,1.0,30
Liam Kelly,"1,84m",right,3.0,0,Scotland,Goalkeeper,GK,0.8,30
Craig Gordon,"1,93m",left,84.0,0,Scotland,Goalkeeper,GK,0.05,43
Scott McKenna,"1,89m",left,51.0,1,Scotland,Centre-Back,DF,4.0,29
Jack Hendry,"1,92m",right,41.0,3,Scotland,Centre-Back,DF,2.5,31
John Souttar,"1,86m",right,24.0,2,Scotland,Centre-Back,DF,2.0,29
Dominic Hyam,"1,88m",right,4.0,0,Scotland,Centre-Back,DF,2.0,30
Grant Hanley,"1,88m",right,70.0,2,Scotland,Centre-Back,DF,0.2,34
Kieran Tierney,"1,80m",left,58.0,2,Scotland,Left-Back,DF,8.0,29
Andrew Robertson,"1,78m",left,97.0,4,Scotland,Left-Back,DF,7.0,32
Aaron Hickey,"1,85m",both,22.0,0,Scotland,Right-Back,DF,16.0,24
Nathan Patterson,"1,83m",right,29.0,1,Scotland,Right-Back,DF,10.0,24
Anthony Ralston,"1,78m",right,29.0,1,Scotland,Right-Back,DF,1.5,27
Scott McTominay,"1,93m",right,73.0,15,Scotland,Central Midfield,MF,40.0,29
Lewis Ferguson,"1,81m",right,27.0,1,Scotland,Central Midfield,MF,14.0,26
John McGinn,"1,78m",left,89.0,21,Scotland,Central Midfield,MF,13.0,31
Ryan Christie,"1,78m",left,71.0,10,Scotland,Central Midfield,MF,8.0,31
Tyler Fletcher,"1,83m",right,2.0,0,Scotland,Central Midfield,MF,1.5,19
Kenny McLean,"1,83m",left,60.0,3,Scotland,Central Midfield,MF,0.4,34
Findlay Curtis,"1,80m",right,5.0,1,Scotland,Left Winger,FW,2.0,20
Ben Gannon-Doak,"1,73m",right,17.0,1,Scotland,Right Winger,FW,15.0,20
George Hirst,"1,91m",right,10.0,1,Scotland,Centre-Forward,FW,10.0,27
Ché Adams,"1,75m",right,50.0,13,Scotland,Centre-Forward,FW,5.0,29
Lawrence Shankland,"1,85m",right,22.0,7,Scotland,Centre-Forward,FW,3.0,30
Ross Stewart,"1,88m",right,4.0,0,Scotland,Centre-Forward,FW,2.5,29
Lyndon Dykes,"1,88m",right,53.0,10,Scotland,Centre-Forward,FW,0.8,30
Yehvann Diouf,"1,88m",right,2.0,0,Senegal,Goalkeeper,GK,7.0,26
Edouard Mendy,"1,94m",right,59.0,0,Senegal,Goalkeeper,GK,4.0,34
Mory Diaw,"1,97m",right,7.0,0,Senegal,Goalkeeper,GK,0.9,33
Mamadou Sarr,"1,94m",right,8.0,0,Senegal,Centre-Back,DF,22.0,20
Moussa Niakhaté,"1,90m",left,34.0,0,Senegal,Centre-Back,DF,15.0,30
Antoine Mendy,"1,87m",right,7.0,0,Senegal,Centre-Back,DF,10.0,22
Kalidou Koulibaly,"1,86m",right,105.0,2,Senegal,Centre-Back,DF,4.5,35
Abdoulaye Seck,"1,92m",right,23.0,4,Senegal,Centre-Back,DF,0.4,34
El Hadji Malick Diouf,"1,77m",left,22.0,1,Senegal,Left-Back,DF,28.0,21
Ismail Jakobs,"1,84m",left,32.0,0,Senegal,Left-Back,DF,8.0,26
Idrissa Gueye,"1,74m",right,134.0,7,Senegal,Defensive Midfield,MF,0.5,36
Lamine Camara,"1,74m",right,36.0,5,Senegal,Central Midfield,MF,40.0,22
Pape Gueye,"1,89m",left,44.0,7,Senegal,Central Midfield,MF,40.0,27
Habib Diarra,"1,78m",right,23.0,5,Senegal,Central Midfield,MF,35.0,22
Pape Matar Sarr,"1,85m",right,41.0,4,Senegal,Central Midfield,MF,30.0,23
Bara Sapoko Ndiaye,"1,80m",right,1.0,0,Senegal,Central Midfield,MF,4.0,18
Pathé Ciss,"1,86m",right,33.0,0,Senegal,Central Midfield,MF,1.8,32
Krépin Diatta,"1,73m",right,64.0,2,Senegal,Right Midfield,MF,6.0,27
Assane Diao,"1,85m",right,6.0,0,Senegal,Left Winger,FW,30.0,20
Sadio Mané,"1,75m",right,129.0,54,Senegal,Left Winger,FW,6.0,34
Iliman Ndiaye,"1,80m",right,42.0,5,Senegal,Right Winger,FW,55.0,26
Ismaïla Sarr,"1,85m",right,86.0,22,Senegal,Right Winger,FW,40.0,28
Ibrahim Mbaye,"1,75m",right,14.0,4,Senegal,Right Winger,FW,30.0,18
Nicolas Jackson,"1,87m",right,36.0,8,Senegal,Centre-Forward,FW,40.0,25
Bamba Dieng,"1,78m",right,24.0,2,Senegal,Centre-Forward,FW,15.0,26
Cherif Ndiaye,"1,90m",right,19.0,4,Senegal,Centre-Forward,FW,5.0,30
Sipho Chaine,"1,86m",right,4.0,0,South Africa,Goalkeeper,GK,1.6,29
Ronwen Williams,"1,84m",right,66.0,0,South Africa,Goalkeeper,GK,0.8,34
Ricardo Goss,"1,81m",right,5.0,0,South Africa,Goalkeeper,GK,0.35,32
Mbekezeli Mbokazi,"1,77m",left,14.0,1,South Africa,Centre-Back,DF,3.5,20
Ime Okon,"1,87m",right,7.0,0,South Africa,Centre-Back,DF,2.0,22
Olwethu Makhanya,"1,85m",right,1.0,0,South Africa,Centre-Back,DF,2.0,22
Nkosinathi Sibisi,"1,77m",right,21.0,0,South Africa,Centre-Back,DF,1.6,30
Khulumani Ndamane,"1,83m",right,5.0,0,South Africa,Centre-Back,DF,1.2,22
Samukele Kabini,"1,79m",left,6.0,0,South Africa,Left-Back,DF,2.5,22
Aubrey Modiba,"1,71m",left,45.0,1,South Africa,Left-Back,DF,1.8,30
Bradley Cross,"1,75m",left,1.0,0,South Africa,Left-Back,DF,1.0,25
Thabang Matuludi,"1,89m",right,3.0,0,South Africa,Right-Back,DF,1.2,27
Khuliso Mudau,"1,79m",right,36.0,1,South Africa,Right-Back,DF,1.2,31
